combination,player_games,players,mean_placing,first_place_pct,mean_rating_change,player_game_share_pct
R0 / GM+0,13538,1198,3.199290884916531,21.39902496676023,-1.9644703796720342,27.64323926981664
R0 / GM+1,5480,988,3.147992700729927,22.40875912408759,-3.5034671532846717,11.189610813901254
R0 / GM+2,957,397,2.948798328108673,27.27272727272727,-2.0564263322884013,1.9540980928656022
R1 / GM+0,4588,854,3.129686137750654,23.29991281604185,1.1658674803836093,9.368236206966962
R1 / GM+1,6149,783,2.7892340217921614,30.89933322491462,-2.198243616848268,12.555641769101971
R1 / GM+2,1086,318,2.401473296500921,41.25230202578269,4.802025782688766,2.2175031649446644
R2 / GM+0,2627,466,2.9680243623905596,25.961172440045683,2.6406547392462887,5.3640707314085025
R2 / GM+1,5706,525,2.556782334384858,35.61163687346653,0.4374342797055731,11.651080164985503
R2 / GM+2,8843,421,2.0680764446454822,51.78106977270157,7.238946059029741,18.056519786008902
