region,combination,player_games,regional_player_game_share_pct,prevalence_rank,placing,observations,mean_rating_change
sea,R1 / GM+1,468,10.344827586206897,5,6,53,-84.94339622641509
sea,R2 / GM+1,486,10.742705570291777,3,1,123,43.34146341463415
sea,R2 / GM+1,486,10.742705570291777,3,2,101,22.89108910891089
sea,R2 / GM+1,486,10.742705570291777,3,3,73,-3.1095890410958904
sea,R2 / GM+1,486,10.742705570291777,3,4,78,-24.73076923076923
sea,R2 / GM+1,486,10.742705570291777,3,5,64,-47.578125
sea,R2 / GM+1,486,10.742705570291777,3,6,47,-71.0
sea,R2 / GM+2,483,10.676392572944298,4,1,174,56.17816091954023
sea,R2 / GM+2,483,10.676392572944298,4,2,107,21.242990654205606
sea,R2 / GM+2,483,10.676392572944298,4,3,75,-15.306666666666667
sea,R2 / GM+2,483,10.676392572944298,4,4,62,-51.75806451612903
sea,R2 / GM+2,483,10.676392572944298,4,5,40,-92.9
sea,R2 / GM+2,483,10.676392572944298,4,6,25,-129.0
tr,R0 / GM+0,1314,55.11744966442953,1,1,273,58.37362637362637
tr,R0 / GM+0,1314,55.11744966442953,1,2,263,30.520912547528518
tr,R0 / GM+0,1314,55.11744966442953,1,3,216,6.435185185185185
tr,R0 / GM+0,1314,55.11744966442953,1,4,197,-26.01522842639594
tr,R0 / GM+0,1314,55.11744966442953,1,5,201,-57.32835820895522
tr,R0 / GM+0,1314,55.11744966442953,1,6,164,-83.33536585365853
tr,R0 / GM+1,209,8.766778523489933,4,1,43,70.16279069767442
tr,R0 / GM+1,209,8.766778523489933,4,2,50,35.38
tr,R0 / GM+1,209,8.766778523489933,4,3,38,-1.894736842105263
tr,R0 / GM+1,209,8.766778523489933,4,4,35,-29.17142857142857
tr,R0 / GM+1,209,8.766778523489933,4,5,24,-62.166666666666664
tr,R0 / GM+1,209,8.766778523489933,4,6,19,-96.94736842105263
tr,R1 / GM+0,332,13.926174496644295,2,1,75,54.10666666666667
tr,R1 / GM+0,332,13.926174496644295,2,2,69,25.536231884057973
tr,R1 / GM+0,332,13.926174496644295,2,3,73,1.3287671232876712
tr,R1 / GM+0,332,13.926174496644295,2,4,45,-14.266666666666667
tr,R1 / GM+0,332,13.926174496644295,2,5,35,-42.48571428571429
tr,R1 / GM+0,332,13.926174496644295,2,6,35,-70.0
tr,R2 / GM+2,222,9.312080536912752,3,1,181,36.73480662983425
tr,R2 / GM+2,222,9.312080536912752,3,2,27,-22.62962962962963
tr,R2 / GM+2,222,9.312080536912752,3,3,2,-17.5
tr,R2 / GM+2,222,9.312080536912752,3,4,7,-124.71428571428571
tr,R2 / GM+2,222,9.312080536912752,3,5,4,-193.75
tr,R2 / GM+2,222,9.312080536912752,3,6,1,-233.0
tw,R0 / GM+0,539,26.762661370407148,1,1,129,47.48062015503876
tw,R0 / GM+0,539,26.762661370407148,1,2,96,26.020833333333332
tw,R0 / GM+0,539,26.762661370407148,1,3,82,4.658536585365853
tw,R0 / GM+0,539,26.762661370407148,1,4,98,-23.397959183673468
tw,R0 / GM+0,539,26.762661370407148,1,5,68,-52.23529411764706
tw,R0 / GM+0,539,26.762661370407148,1,6,66,-80.15151515151516
tw,R1 / GM+0,222,11.022840119165839,5,1,47,50.06382978723404
tw,R1 / GM+0,222,11.022840119165839,5,2,39,28.384615384615383
tw,R1 / GM+0,222,11.022840119165839,5,3,46,1.5217391304347827
tw,R1 / GM+0,222,11.022840119165839,5,4,26,-21.807692307692307
tw,R1 / GM+0,222,11.022840119165839,5,5,33,-43.39393939393939
tw,R1 / GM+0,222,11.022840119165839,5,6,31,-70.93548387096774
tw,R1 / GM+1,337,16.73286991062562,2,1,128,43.671875
tw,R1 / GM+1,337,16.73286991062562,2,2,71,15.619718309859154
tw,R1 / GM+1,337,16.73286991062562,2,3,54,-10.462962962962964
tw,R1 / GM+1,337,16.73286991062562,2,4,33,-45.78787878787879
tw,R1 / GM+1,337,16.73286991062562,2,5,28,-72.35714285714286
tw,R1 / GM+1,337,16.73286991062562,2,6,23,-111.47826086956522
tw,R2 / GM+0,197,9.781529294935453,6,1,47,40.680851063829785
tw,R2 / GM+0,197,9.781529294935453,6,2,39,18.435897435897434
tw,R2 / GM+0,197,9.781529294935453,6,3,34,3.6176470588235294
tw,R2 / GM+0,197,9.781529294935453,6,4,30,-24.233333333333334
tw,R2 / GM+0,197,9.781529294935453,6,5,22,-30.818181818181817
tw,R2 / GM+0,197,9.781529294935453,6,6,25,-61.32
tw,R2 / GM+1,271,13.455809334657399,3,1,88,39.82954545454545
tw,R2 / GM+1,271,13.455809334657399,3,2,57,16.56140350877193
tw,R2 / GM+1,271,13.455809334657399,3,3,43,-9.930232558139535
tw,R2 / GM+1,271,13.455809334657399,3,4,26,-40.38461538461539
tw,R2 / GM+1,271,13.455809334657399,3,5,34,-64.1470588235294
tw,R2 / GM+1,271,13.455809334657399,3,6,23,-74.08695652173913
tw,R2 / GM+2,240,11.916583912611719,4,1,82,72.5
tw,R2 / GM+2,240,11.916583912611719,4,2,62,25.5
